date,rainfall_mm
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.9
2018-05-13,0.1
2018-05-14,1.3
2018-05-15,0.0
2018-05-16,1.4
2018-05-17,0.0
2018-05-18,0.3
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.8
2018-05-23,0.1
2018-05-24,0.3
2018-05-25,0.1
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,1.4
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.6
2018-06-03,0.0
2018-06-04,0.1
2018-06-05,0.2
2018-06-06,1.8
2018-06-07,0.1
2018-06-08,9.3
2018-06-09,30.1
2018-06-10,12.9
2018-06-11,28.1
2018-06-12,9.0
2018-06-13,0.5
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,0.6
2018-06-19,1.9
2018-06-20,10.1
2018-06-21,5.2
2018-06-22,6.9
2018-06-23,0.3
2018-06-24,1.1
2018-06-25,1.3
2018-06-26,6.1
2018-06-27,25.8
2018-06-28,32.3
2018-06-29,3.1
2018-06-30,9.6
2018-07-01,20.7
2018-07-02,4.2
2018-07-03,3.2
2018-07-04,18.6
2018-07-05,47.9
2018-07-06,38.9
2018-07-07,18.8
2018-07-08,44.0
2018-07-09,57.9
2018-07-10,15.1
2018-07-11,13.0
2018-07-12,12.6
2018-07-13,9.5
2018-07-14,11.3
2018-07-15,13.9
2018-07-16,21.9
2018-07-17,25.8
2018-07-18,3.6
2018-07-19,8.8
2018-07-20,5.4
2018-07-21,5.5
2018-07-22,19.5
2018-07-23,71.3
2018-07-24,1.9
2018-07-25,13.8
2018-07-26,10.1
2018-07-27,1.8
2018-07-28,8.5
2018-07-29,1.8
2018-07-30,3.1
2018-07-31,2.4
2018-08-01,4.7
2018-08-02,1.7
2018-08-03,0.8
2018-08-04,0.9
2018-08-05,4.7
2018-08-06,5.1
2018-08-07,9.3
2018-08-08,222.2
2018-08-09,14.8
2018-08-10,13.0
2018-08-11,7.6
2018-08-12,20.6
2018-08-13,1.5
2018-08-14,9.8
2018-08-15,13.7
2018-08-16,14.5
2018-08-17,2.9
2018-08-18,9.8
2018-08-19,22.3
2018-08-20,6.6
2018-08-21,9.3
2018-08-22,3.3
2018-08-23,7.1
2018-08-24,6.4
2018-08-25,5.9
2018-08-26,13.1
2018-08-27,12.3
2018-08-28,28.8
2018-08-29,21.1
2018-08-30,3.8
2018-08-31,19.5
2018-09-01,9.1
2018-09-02,10.4
2018-09-03,3.1
2018-09-04,3.5
2018-09-05,22.0
2018-09-06,7.3
2018-09-07,39.1
2018-09-08,1.2
2018-09-09,0.3
2018-09-10,0.3
2018-09-11,0.1
2018-09-12,0.1
2018-09-13,0.1
2018-09-14,0.8
2018-09-15,0.4
2018-09-16,1.3
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.1
2018-09-21,23.9
2018-09-22,5.3
2018-09-23,0.5
2018-09-24,1.9
2018-09-25,0.1
2018-09-26,0.3
2018-09-27,0.0
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,0.1
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,0.2
2018-10-13,0.2
2018-10-14,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,0.0
2018-10-18,0.0
2018-10-19,0.0
2018-10-20,0.0
2018-10-21,0.0
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,0.0
2018-10-30,0.0
2018-10-31,0.2
2018-11-01,0.4
2018-11-02,0.0
2018-11-03,0.0
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-10,0.0
2018-11-11,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,0.0
2018-11-19,0.0
2018-11-20,0.0
2018-11-21,0.0
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,3.2
2018-12-11,0.2
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.2
2018-12-17,22.5
2018-12-18,3.6
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-12,0.0
2019-01-13,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,5.9
2019-01-25,22.8
2019-01-26,3.9
2019-01-27,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.5
2019-02-08,0.6
2019-02-09,0.0
2019-02-10,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,3.1
2019-02-16,0.4
2019-02-17,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-23,0.0
2019-02-24,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,1.2
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-09,0.0
2019-03-10,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.1
2019-03-15,1.1
2019-03-16,0.1
2019-03-17,0.7
2019-03-18,1.7
2019-03-19,0.0
2019-03-20,23.7
2019-03-21,0.0
2019-03-22,0.1
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.0
2019-03-30,0.0
2019-03-31,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-06,0.0
2019-04-07,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,0.0
2019-04-16,0.2
2019-04-17,0.0
2019-04-18,0.2
2019-04-19,0.2
2019-04-20,0.0
2019-04-21,0.3
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-04,0.1
2019-05-05,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-11,0.0
2019-05-12,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,0.0
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,0.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-01,0.8
2019-06-02,0.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.6
2019-06-14,0.9
2019-06-15,5.3
2019-06-16,3.8
2019-06-17,4.9
2019-06-18,0.1
2019-06-19,0.0
2019-06-20,0.1
2019-06-21,0.0
2019-06-22,0.8
2019-06-23,19.2
2019-06-24,4.4
2019-06-25,0.2
2019-06-26,10.8
2019-06-27,11.4
2019-06-28,24.7
2019-06-29,16.5
2019-06-30,37.8
2019-07-01,20.1
2019-07-02,63.3
2019-07-03,28.9
2019-07-04,14.0
2019-07-05,26.5
2019-07-06,19.1
2019-07-07,16.3
2019-07-08,21.5
2019-07-09,12.6
2019-07-10,1.6
2019-07-11,2.8
2019-07-12,0.9
2019-07-13,1.0
2019-07-14,1.0
2019-07-15,0.4
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,2.3
2019-07-19,23.2
2019-07-20,5.2
2019-07-21,7.9
2019-07-22,4.2
2019-07-23,0.1
2019-07-24,3.8
2019-07-25,34.8
2019-07-26,30.1
2019-07-27,26.3
2019-07-28,11.4
2019-07-29,43.8
2019-07-30,28.0
2019-07-31,36.6
2019-08-01,21.4
2019-08-02,20.6
2019-08-03,43.4
2019-08-04,13.0
2019-08-05,25.7
2019-08-06,7.5
2019-08-07,20.3
2019-08-08,83.6
2019-08-09,18.0
2019-08-10,6.3
2019-08-11,1.2
2019-08-12,5.6
2019-08-13,19.3
2019-08-14,65.4
2019-08-15,8.0
2019-08-16,1.2
2019-08-17,0.7
2019-08-18,4.2
2019-08-19,7.8
2019-08-20,7.5
2019-08-21,7.9
2019-08-22,18.6
2019-08-23,11.4
2019-08-24,9.6
2019-08-25,10.8
2019-08-26,28.4
2019-08-27,20.6
2019-08-28,5.9
2019-08-29,3.7
2019-08-30,18.2
2019-08-31,7.7
2019-09-01,8.3
2019-09-02,14.5
2019-09-03,17.6
2019-09-04,42.4
2019-09-05,10.1
2019-09-06,28.7
2019-09-07,21.9
2019-09-08,80.5
2019-09-09,15.4
2019-09-10,11.0
2019-09-11,38.3
2019-09-12,56.3
2019-09-13,30.2
2019-09-14,3.3
2019-09-15,1.9
2019-09-16,12.7
2019-09-17,14.2
2019-09-18,5.4
2019-09-19,3.9
2019-09-20,6.7
2019-09-21,7.2
2019-09-22,0.9
2019-09-23,6.3
2019-09-24,4.5
2019-09-25,36.2
2019-09-26,22.2
2019-09-27,16.9
2019-09-28,22.2
2019-09-29,17.7
2019-09-30,8.7
2019-10-01,4.0
2019-10-02,2.0
2019-10-03,0.6
2019-10-04,0.3
2019-10-05,0.3
2019-10-06,1.1
2019-10-07,7.9
2019-10-08,0.0
2019-10-09,0.8
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.1
2019-10-17,0.0
2019-10-18,5.1
2019-10-19,0.9
2019-10-20,4.1
2019-10-21,8.7
2019-10-22,3.6
2019-10-23,0.5
2019-10-24,1.8
2019-10-25,0.5
2019-10-26,3.6
2019-10-27,4.9
2019-10-28,0.1
2019-10-29,0.7
2019-10-30,0.8
2019-10-31,0.0
2019-11-01,0.2
2019-11-02,0.0
2019-11-03,0.1
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,0.0
2019-11-08,0.0
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.6
2019-12-14,1.2
2019-12-15,4.6
2019-12-16,1.1
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-25,0.1
2019-12-26,5.1
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,0.0
2019-12-31,9.0
2020-01-01,6.6
2020-01-02,9.9
2020-01-03,0.8
2020-01-04,2.7
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,10.4
2020-01-09,1.7
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.2
2020-01-18,3.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,1.8
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.3
2020-01-29,0.1
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,7.2
2020-02-05,0.2
2020-02-06,0.0
2020-02-07,5.3
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.3
2020-02-22,0.3
2020-02-23,0.3
2020-02-24,13.4
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.1
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.9
2020-03-07,4.1
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.7
2020-03-11,4.1
2020-03-12,3.0
2020-03-13,5.7
2020-03-14,5.2
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,1.5
2020-03-19,17.9
2020-03-20,0.0
2020-03-21,1.2
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.9
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,5.8
2020-04-05,0.0
2020-04-06,0.1
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.3
2020-04-10,0.1
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.1
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.2
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.4
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.1
2020-06-01,0.0
2020-06-02,19.3
2020-06-03,6.6
2020-06-04,6.3
2020-06-05,0.7
2020-06-06,0.3
2020-06-07,0.8
2020-06-08,0.2
2020-06-09,0.6
2020-06-10,0.3
2020-06-11,0.8
2020-06-12,23.4
2020-06-13,8.6
2020-06-14,2.9
2020-06-15,20.8
2020-06-16,11.8
2020-06-17,27.2
2020-06-18,4.4
2020-06-19,0.4
2020-06-20,3.3
2020-06-21,9.6
2020-06-22,51.6
2020-06-23,93.7
2020-06-24,3.0
2020-06-25,6.5
2020-06-26,8.1
2020-06-27,19.4
2020-06-28,7.7
2020-06-29,6.0
2020-06-30,7.1
2020-07-01,1.4
2020-07-02,7.6
2020-07-03,22.1
2020-07-04,23.2
2020-07-05,13.8
2020-07-06,22.6
2020-07-07,3.0
2020-07-08,0.6
2020-07-09,17.2
2020-07-10,18.6
2020-07-11,2.6
2020-07-12,4.5
2020-07-13,8.3
2020-07-14,10.5
2020-07-15,28.9
2020-07-16,3.5
2020-07-17,4.5
2020-07-18,2.2
2020-07-19,23.8
2020-07-20,20.7
2020-07-21,16.0
2020-07-22,17.4
2020-07-23,18.7
2020-07-24,0.5
2020-07-25,14.3
2020-07-26,0.7
2020-07-27,2.8
2020-07-28,6.7
2020-07-29,2.4
2020-07-30,2.0
2020-07-31,1.5
2020-08-01,9.2
2020-08-02,10.5
2020-08-03,28.6
2020-08-04,32.5
2020-08-05,9.6
2020-08-06,15.9
2020-08-07,7.4
2020-08-08,50.9
2020-08-09,41.9
2020-08-10,14.9
2020-08-11,11.8
2020-08-12,21.0
2020-08-13,27.1
2020-08-14,7.3
2020-08-15,4.9
2020-08-16,64.4
2020-08-17,47.8
2020-08-18,19.5
2020-08-19,10.3
2020-08-20,20.9
2020-08-21,25.0
2020-08-22,3.1
2020-08-23,2.7
2020-08-24,2.4
2020-08-25,0.6
2020-08-26,6.9
2020-08-27,52.8
2020-08-28,141.3
2020-08-29,30.7
2020-08-30,3.4
2020-08-31,0.9
2020-09-01,0.3
2020-09-02,3.4
2020-09-03,2.8
2020-09-04,2.0
2020-09-05,5.8
2020-09-06,19.7
2020-09-07,4.7
2020-09-08,3.7
2020-09-09,10.0
2020-09-10,25.4
2020-09-11,6.7
2020-09-12,1.5
2020-09-13,3.7
2020-09-14,1.2
2020-09-15,5.1
2020-09-16,7.1
2020-09-17,2.2
2020-09-18,3.7
2020-09-19,12.8
2020-09-20,2.3
2020-09-21,21.5
2020-09-22,28.9
2020-09-23,20.7
2020-09-24,11.6
2020-09-25,1.0
2020-09-26,0.8
2020-09-27,0.3
2020-09-28,1.8
2020-09-29,8.0
2020-09-30,0.1
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,2.1
2020-10-06,6.9
2020-10-07,16.7
2020-10-08,12.5
2020-10-09,3.2
2020-10-10,2.6
2020-10-11,8.6
2020-10-12,0.0
2020-10-13,0.1
2020-10-14,0.4
2020-10-15,9.0
2020-10-16,3.4
2020-10-17,1.7
2020-10-18,0.2
2020-10-19,0.1
2020-10-20,0.1
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.2
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.3
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,1.3
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,2.8
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.2
2020-12-15,0.2
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.7
2021-01-29,4.6
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,8.6
2021-02-18,0.1
2021-02-19,0.4
2021-02-20,0.1
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.6
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.1
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.4
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.8
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.2
2021-05-08,0.1
2021-05-09,16.0
2021-05-10,0.0
2021-05-11,0.4
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,4.1
2021-05-19,7.8
2021-05-20,2.5
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.1
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.1
2021-06-04,1.2
2021-06-05,0.0
2021-06-06,6.0
2021-06-07,0.5
2021-06-08,13.5
2021-06-09,6.1
2021-06-10,33.2
2021-06-11,28.2
2021-06-12,26.3
2021-06-13,9.6
2021-06-14,2.7
2021-06-15,3.6
2021-06-16,4.5
2021-06-17,29.9
2021-06-18,16.3
2021-06-19,2.4
2021-06-20,2.8
2021-06-21,0.2
2021-06-22,11.5
2021-06-23,16.9
